323031	1	[11928]
308776	1	[893]
302370	1	[13490]
297010	1	[12321]
281109	1	[33053]
254549	1	[15989]
253123	1	[20199]
247600	1	[22]
240803	1	[14899]
239698	1	[6107]
239326	1	[15135]
232732	1	[37435]
206972	1	[37878]
190854	1	[10459]
180902	1	[26333]
159688	1	[9302]
157485	1	[45314]
148671	1	[12851]
144813	1	[11356]
141793	1	[8922]
140671	1	[14581]
140124	1	[12645]
138435	1	[14273]
134451	1	[17769]
129201	1	[24093]
128484	1	[22762]
124801	1	[20296]
123016	1	[694]
122329	1	[10228]
121326	1	[12078]
118814	1	[5226]
117126	1	[989]
116440	1	[326]
115333	1	[48049]
113222	1	[45165]
110846	1	[37428]
110054	1	[5706]
108979	1	[410]
106563	1	[58546]
106503	1	[29480]
106108	1	[15589]
100496	1	[17698]
99610	1	[32651]
96172	1	[9443]
95861	1	[5345]
95789	1	[937]
94318	1	[39773]
93823	1	[9588]
92256	1	[15398]
91672	1	[6546]
91204	1	[27767]
90902	1	[29719]
90439	1	[26366]
88861	1	[16904]
88814	1	[20308]
88629	1	[11347]
87500	1	[9255]
87209	1	[56668]
86202	1	[761]
85224	1	[806]
85001	1	[36450]
84722	1	[27295]
81924	1	[14645]
81375	1	[39137]
81353	1	[17839]
81002	1	[6547]
77015	1	[38955]
76698	1	[54214]
76557	1	[29825]
76490	1	[34357]
75375	1	[23969]
73865	1	[8032]
73435	1	[17540]
73171	1	[10773]
73167	1	[18904]
72953	1	[11619]
72289	1	[6838]
72255	1	[24452]
71942	1	[32981]
71923	1	[6773]
71741	1	[31916]
71140	1	[13061]
70467	1	[15924]
70112	1	[13894]
69925	1	[12532]
68340	1	[30249]
67776	1	[39831]
67105	1	[21877]
67028	1	[9262]
66592	1	[31746]
66088	1	[39142]
65890	1	[10783]
65888	1	[36238]
65453	1	[25673]
65407	1	[20319]
65229	1	[10048]
64748	1	[24511]
64267	1	[12575]
64090	1	[26283]
63205	1	[25267]
63124	1	[9159]
62793	1	[1095]
62581	1	[33351]
62277	1	[16807]
61575	1	[28608]
61134	1	[16700]
61029	1	[10188]
60885	1	[10615]
60883	1	[43191]
60814	1	[2368]
60743	1	[13750]
58592	1	[26103]
58174	1	[30344]
57847	1	[20071]
57563	1	[36049]
57442	1	[14693]
56683	1	[26308]
56338	1	[11699]
55108	1	[12721]
54560	1	[32818]
54189	1	[18583]
54131	1	[14415]
53898	1	[23895]
53843	1	[28426]
53408	1	[19227]
53231	1	[35868]
52570	1	[14648]
52354	1	[20535]
52340	1	[28868]
52013	1	[5357]
51850	1	[32622]
51423	1	[9850]
50631	1	[9307]
50190	1	[19099]
50175	1	[12761]
50016	1	[30881]
49950	1	[25821]
48868	1	[17578]
48723	1	[25053]
48540	1	[15208]
48535	1	[31330]
48156	1	[12318]
47892	1	[13461]
47813	1	[6510]
47266	1	[1028]
47076	1	[46437]
47010	1	[32328]
46855	1	[35534]
46342	1	[24405]
46003	1	[16890]
45969	1	[9832]
45902	1	[24319]
45887	1	[6715]
45877	1	[24534]
45792	1	[13754]
45759	1	[53048]
44917	1	[6048]
44890	1	[5121]
44642	1	[6987]
44560	1	[265]
44512	1	[19220]
44508	1	[25119]
44269	1	[51065]
44139	1	[30912]
44000	1	[25650]
43941	1	[22957]
43894	1	[20075]
43495	1	[16728]
43323	1	[8847]
42913	1	[6676]
42744	1	[29893]
42734	1	[9364]
42688	1	[22736]
42627	1	[842]
42107	1	[6787]
41949	1	[41834]
41739	1	[27615]
